order,district,x,y,z,rotation,sizeX,sizeY,sizeZ,bboxMinX,bboxMinY,bboxMinZ,bboxMaxX,bboxMaxY,bboxMaxZ,level,connection
0,firstcrusade:underhive,-96,-64,-96,0,192,64,128,-96,-64,-96,96,0,32,underhive(-64),poço central ↔ manufactorum
1,firstcrusade:hive_corner_bastion,-480,0,-480,1,192,64,128,-480,0,-480,-288,64,-352,perímetro(0),bastião de canto (fecha muralha)
2,firstcrusade:hive_wall_line,-480,0,-288,3,192,64,128,-480,0,-288,-288,64,-160,perímetro(0),muralha reta + carga
3,firstcrusade:south_ash_gate,-480,0,-96,3,192,64,128,-480,0,-96,-288,64,32,perímetro(0),portão ↔ ruas principais/carga
4,firstcrusade:hive_wall_line,-480,0,96,3,192,64,128,-480,0,96,-288,64,224,perímetro(0),muralha reta + carga
5,firstcrusade:hive_corner_bastion,-480,0,288,0,192,64,128,-480,0,288,-288,64,416,perímetro(0),bastião de canto (fecha muralha)
6,firstcrusade:hive_wall_line,-288,0,-480,0,192,64,128,-288,0,-480,-96,64,-352,perímetro(0),muralha reta + carga
7,firstcrusade:hive_wall_line,-288,0,288,2,192,64,128,-288,0,288,-96,64,416,perímetro(0),muralha reta + carga
8,firstcrusade:south_ash_gate,-96,0,-480,0,192,64,128,-96,0,-480,96,64,-352,perímetro(0),portão ↔ ruas principais/carga
9,firstcrusade:south_ash_gate,-96,0,288,2,192,64,128,-96,0,288,96,64,416,perímetro(0),portão ↔ ruas principais/carga
10,firstcrusade:hive_wall_line,96,0,-480,0,192,64,128,96,0,-480,288,64,-352,perímetro(0),muralha reta + carga
11,firstcrusade:hive_wall_line,96,0,288,2,192,64,128,96,0,288,288,64,416,perímetro(0),muralha reta + carga
12,firstcrusade:hive_corner_bastion,288,0,-480,2,192,64,128,288,0,-480,480,64,-352,perímetro(0),bastião de canto (fecha muralha)
13,firstcrusade:hive_wall_line,288,0,-288,1,192,64,128,288,0,-288,480,64,-160,perímetro(0),muralha reta + carga
14,firstcrusade:south_ash_gate,288,0,-96,1,192,64,128,288,0,-96,480,64,32,perímetro(0),portão ↔ ruas principais/carga
15,firstcrusade:hive_wall_line,288,0,96,1,192,64,128,288,0,96,480,64,224,perímetro(0),muralha reta + carga
16,firstcrusade:hive_corner_bastion,288,0,288,3,192,64,128,288,0,288,480,64,416,perímetro(0),bastião de canto (fecha muralha)
